id,user_id,question,response,timestamp
1,7796093064,"When you're feeling down, what’s something that usually cheers you up?",I love eating something sweat it makes me feel happier,2025-02-23 18:18:38.214943
2,7796093064,You witness someone being treated unfairly in public. How would you react?,"If I see that he can’t stand for himself I will try to help him, but as I don’t know what is the context maybe I am the wrong one",2025-02-23 18:19:15.549607
3,7796093064,Can you describe a time when you felt truly proud of yourself?,"The time where I was truly proud of myself was deciding to do the GMAT exam for the 3rd time, because I wanted to success and get to my goal",2025-02-23 18:19:32.252030
4,7796093064,Imagine you’re leading a team and one member isn’t performing well. How would you handle it?,"Question 4/5: If you had to take full responsibility for a failed group project, what would you say to the team?",2025-02-23 18:19:47.748239
5,7796093064,How do you usually react to constructive criticism?,"I listen to them very carefully, ask questions and try to improve",2025-02-23 18:21:04.963311
6,7954959823,What are the three most important values in your life?,My 3 most important value in my life are family health and honesty,2025-02-23 21:26:40.928102
7,7954959823,"What type of movies do you usually watch? (e.g., comedy, thriller, romance, documentary)",The movies I usually watch are comedy thriller and animation,2025-02-23 21:27:52.011585
8,7954959823,Would you describe yourself as more organized or spontaneous?,I describe myself as organized at work I like schedule my task and control my time but in real life I am more spontaneous going with the flow and making last minute plans,2025-02-23 21:29:16.967497
9,7954959823,Imagine you had to describe your family in three words—what would they be?,My family is generous lovely and caring,2025-02-23 21:29:56.422406
10,7954959823,Would you prioritize personal gain or collective benefit in a difficult choice?,I always prioritize collective benefits in a difficult situation,2025-02-23 21:30:34.325257
11,7972368656,"If you had one day to do anything you wanted, how would you spend it?","If I had one day to do anything I wanted, I would start by waking up early and making myself a 
 cup of coffee to slowly enjoy alone while reading a book. Then, I would head to the beach to swim and tan. After that, I would take a nice shower before going to the beautician for a relaxing self-care session. For lunch, I would gather with my family to share a great meal and enjoy some quality time together. In the afternoon, I would take a peaceful nap to recharge. Finally, I would end the day with an aperitif, watching the sunset over the sea, with my closest friends.",2025-02-23 22:11:46.877039
12,7972368656,"If you could plan a dream family vacation, where would you go and why?","For my dream family vacation, I would choose to go to Corsica, for its stunning landscapes and crystal-clear waters. We would stay in luxurious hotels to fully relax and enjoy the comfort. During the day, we would go on boat trips to explore hidden coves, admire the breathtaking coastline, and swim in the turquoise sea. Food would also be a big part of the experience, as we would indulge in delicious local cuisine and seafood. This trip would be the perfect mix of adventure, relaxation, and quality time.",2025-02-23 22:14:34.501818
13,7972368656,"If you could pass down one piece of advice or value to future generations of your family, what would it be?","If I could pass down one piece of advice to future generations of my family, it would be to always prioritize family over everything. Family is the foundation of love, support, and strength, and no matter what challenges life brings, they will always be there. True happiness comes from the bonds we create with our loved ones, the memories we share, and the unconditional support we give each other.",2025-02-23 22:16:32.478470
14,7972368656,What’s a moment in your life that completely changed your perspective on something?,"when my best friend was diagnosed with cancer in her twenties. At that age, we rarely think about illness or death—we believe we have our whole lives ahead of us. Her battle made me realize how fragile and unpredictable life can be. It taught me the importance of truly enjoying every moment, not taking anything for granted, and surrounding myself with the right people. Life is too short to waste time on negativity or regrets; we should cherish our loved ones, and create meaningful memories.",2025-02-23 22:19:03.010513
15,7972368656,Is there someone you wish you could apologize to or thank?,"If there is someone to thank it would be my mother for her unconditional love and support. There are times when I may feel upset about things she says or does, but the truth is, she never deserves it. She is a true force of nature—strong, selfless, and always there for us no matter what. Her kindness and resilience inspire me every day, and I am deeply grateful for everything she has done. I would thank her for always believing in me, for her sacrifices, and for the immense love she gives without expecting anything in return.",2025-02-23 22:22:50.291177
16,7796093064,"Under stress, do you act quickly or prefer to take a step back and reflect?",I handle very bad stress at first and usually cant do anything but after I pull my self together and organize myself to do all the tasks,2025-02-24 12:43:07.033045
17,7796093064,"When making important decisions, do you trust your instincts or rely on logical analysis?",A mix of both is the best way to make décisions that you won’t regret,2025-02-24 12:44:09.491718
18,7796093064,"What was the most difficult moment you’ve ever faced, and how did you overcome it?",I think it s when i need to handle my anxiety. Sometimes it comes from nowhere and i start crying and can’t do anything. But now i feel way better and don’t have them very often,2025-02-24 12:46:04.360678
19,7796093064,What motivates you the most when working towards a goal?,"My parents being proud of me achieving the goal, it’s the best thing ever",2025-02-24 12:46:47.195000
20,7796093064,"What type of movies do you usually watch? (e.g., comedy, thriller, romance, documentary)","I love watching comedies, it make you feel safe and I also like watching actions movies",2025-02-24 12:47:45.332672
21,7954959823,"Under stress, do you act quickly or prefer to take a step back and reflect?",Under stress I prefer to take a step back to have time to think abut solution,2025-02-24 18:51:32.012326
22,7954959823,Has there been a time when you felt completely misunderstood?,Yes I already felt misunderstood,2025-02-24 18:52:25.169972
23,7954959823, What word would people close to you use to describe you?,People often use the word leader to describe me,2025-02-24 18:54:49.837850
24,7954959823,Is there a game or activity from your childhood that you still think about fondly?,"Playing card is a game that I think about fondly. With all the technology nowadays, less and less people think about playing it",2025-02-24 18:58:10.142222
25,7954959823,"If you suddenly won a huge amount of money, what would you do first?","If I won a huge amount of money , the first thing I do is take vacation.",2025-02-24 18:59:32.153947
26,7972368656,How do you handle situations where you made a mistake that impacted others?,"I apologize and try to make up for it as best as I can. Sometimes I do too much, and it doesn’t really help.",2025-02-24 21:09:09.743757
27,7972368656,How do you typically handle unexpected situations?,"As an overthinker, it’s not easy. I quickly start to stress. But I manage to pull myself together and be as practical as possible.",2025-02-24 21:11:32.254298
28,7972368656,"In group settings, do you naturally take on a leadership, mediator, or observer role?","It depends on the context and the group of people in front of me.
With my colleagues, I take on a leadership role to organize the team work.
With higher-ups, I take on the role of an observer.
With my friends, I take on the role of a mediator.",2025-02-24 21:14:13.259128
29,7972368656,"Growing up, was your family more traditional or open-minded?",Open-minded for an Arab family in Tunisia. We had a trusting relationship with our parents and could talk about anything.,2025-02-24 21:15:47.977942
30,7972368656,Imagine you could meet your future self—what’s the first question you’d ask?,What do you do for a living?,2025-02-24 21:17:29.164226
31,7796093064,Is there a family tradition that holds special meaning for you?,"Each Sunday when I am back in my home country , all the family meets to eat at my grandmas and it’s so nice cause the food is amazing and you get to see your family",2025-02-25 09:27:49.428089
32,7796093064,"What type of movies do you usually watch? (e.g., comedy, thriller, romance, documentary)",I love watching comedies and actions movies,2025-02-25 09:28:02.714554
33,7796093064,"If your life was turned into a movie, what genre would it be and who would play you?",I would like to play a super hero that is there to help ppl around me,2025-02-25 09:28:25.393128
34,7796093064,A close friend asks you for help during an important moment in your own life. Would you prioritize them or your own needs? Why?,It depends on the situations if I see my friend in a very bad situation I’ll help him out without any hesitation,2025-02-25 09:28:57.952965
35,7796093064,"When you're feeling down, what’s something that usually cheers you up?",I love eating something sweet or going to the gym,2025-02-25 09:29:11.128978
36,7972368656,How do you typically handle unexpected situations?,"As an overthinker, it’s not easy. I quickly start to stress. But I manage to pull myself together and be as practical as possible.",2025-02-25 17:22:36.983938
37,7972368656,Imagine your friend just told you they failed something important to them. What would you say to comfort them?,"It’s okay to fail. You did your best, and that’s the most important thing. You should be proud of yourself for giving everything you got",2025-02-25 17:24:14.700630
38,7972368656,Imagine you could meet your future self—what’s the first question you’d ask?,What do you do for a living?,2025-02-25 17:24:27.576688
39,7972368656,How do you usually react to constructive criticism?,"I take it very personally. I am a perfectionist, and I can’t help but blame myself if I don’t do well. Even if the criticism is meant to help, I often feel disappointed in myself.",2025-02-25 17:27:07.026841
40,7972368656,"When traveling, do you prefer quiet places or lively destinations?","It depends on the time of year. In summer, I like lively places with good restaurants, shopping and parties. In winter, I prefer quiet places such as the mountains to go skiing and to disconnect.",2025-02-25 17:31:06.279207
41,7954959823,What TV shows or series have you recently enjoyed?,I really enjoyed the TV show called the rookie recently ! It is about a 40 years old man who changed the course of his life and decided to become a cop. It is really inspiring.,2025-02-25 21:32:38.964145
42,7954959823,How do you typically handle unexpected situations?,I usually take a step back during an unexpected situation to have a global look on what is happening. Once I can see the main image I can think of a solution and take action.,2025-02-25 21:34:29.820907
43,7954959823,How do you typically show love and appreciation to your family?,I really love my family and to show them that I usually use words. By telling them every time how much I care about them and when I have the chance I love to hug them. The physical contact is my love language.,2025-02-25 21:41:20.043148
44,7954959823,Which memory would you choose to share if someone wanted to understand who you really are?,"The memory of my parents dropping me at the tennis club for a whole day is what describes me the most. I enjoyed staying there and playing tennis whole day, talking to people and making new friends. It really describes my athlete and social side.",2025-02-25 21:44:35.815815
45,7954959823,How do you show support to a friend going through a tough time?,"To show support to a friend going through a tough time, I stay physically with them. A physical presence always help a person to forget about the problem. I will probably cook something for him and make him something to drink and we will talk about everything, watch a movie, and do activities that takes his mind of things.",2025-02-25 21:46:42.946608
46,7796093064,How do you show support to a friend going through a tough time?,"I show support by being there mentally and physically if I am in the same city as them. I’ll try to make them feel better, talk to them, do  some fun things.",2025-02-26 11:43:02.612570
47,7796093064,"If you suddenly won a huge amount of money, what would you do first?",I would offer gifts to my family and after plan a nice trip and enjoy it,2025-02-26 11:43:29.279495
48,7796093064,What makes you happiest in your daily life?,I love eating and sleeping and spending time with my beloved ones,2025-02-26 11:43:43.711888
